Date,Sentiment,Label
2025-04-15,35.13,Fear
2025-04-14,41.29,Fear
2025-04-13,44.23,Fear
2025-04-12,34.39,Fear
2025-04-11,37.98,Fear
2025-04-10,26.79,Extreme Fear
2025-04-09,30.69,Fear
2025-04-08,28.12,Extreme Fear
2025-04-07,20.64,Extreme Fear
2025-04-06,41.72,Fear
2025-04-05,27.48,Extreme Fear
2025-04-04,24.86,Extreme Fear
2025-04-03,31.38,Fear
2025-04-02,48.27,Neutral
2025-04-01,41.33,Fear
2025-03-31,36.41,Fear
2025-03-30,36.52,Fear
2025-03-29,31.62,Fear
2025-03-28,40.26,Fear
2025-03-27,32.42,Fear
2025-03-26,33.19,Fear
2025-03-25,47.17,Neutral
2025-03-24,38.96,Fear
2025-03-23,36.12,Fear
2025-03-22,45.86,Neutral
2025-03-21,46.48,Neutral
2025-03-20,41.05,Fear
2025-03-19,41.03,Fear
2025-03-18,30.65,Fear
2025-03-17,49.78,Neutral
2025-03-16,35.28,Fear
2025-03-15,35.63,Fear
2025-03-14,54.82,Neutral
2025-03-13,46.36,Neutral
2025-03-12,34.66,Fear
2025-03-11,32.93,Fear
2025-03-10,40.74,Fear
2025-03-09,40.14,Fear
2025-03-08,35.17,Fear
2025-03-07,55.57,Greed
2025-03-06,46.52,Neutral
2025-03-05,36.83,Fear
2025-03-04,28.73,Extreme Fear
2025-03-03,41.20,Fear
2025-03-02,33.53,Fear
2025-03-01,52.03,Neutral
2025-02-28,41.01,Fear
2025-02-27,41.80,Fear
2025-02-26,44.97,Fear
2025-02-25,40.19,Fear
2025-02-24,39.23,Fear
2025-02-23,40.63,Fear
2025-02-22,53.62,Neutral
2025-02-21,44.99,Fear
2025-02-20,43.55,Fear
2025-02-19,47.26,Neutral
2025-02-18,45.57,Neutral
2025-02-17,41.15,Fear
2025-02-16,45.26,Neutral
2025-02-15,40.87,Fear
2025-02-14,51.68,Neutral
2025-02-13,46.15,Neutral
2025-02-12,38.98,Fear
2025-02-11,55.52,Greed
2025-02-10,44.50,Fear
2025-02-09,41.06,Fear
2025-02-08,40.01,Fear
2025-02-07,39.28,Fear
2025-02-06,46.77,Neutral
2025-02-05,34.83,Fear
2025-02-04,38.36,Fear
2025-02-03,42.16,Fear
2025-02-02,39.91,Fear
2025-02-01,26.65,Extreme Fear
2025-01-31,48.81,Neutral
2025-01-30,67.89,Greed
2025-01-29,48.64,Neutral
2025-01-28,38.97,Fear
2025-01-27,43.94,Fear
2025-01-26,38.28,Fear
2025-01-25,45.54,Neutral
2025-01-24,63.14,Greed
2025-01-23,41.47,Fear
2025-01-22,57.23,Greed
2025-01-21,49.69,Neutral
2025-01-20,45.01,Neutral
2025-01-19,43.49,Fear
2025-01-18,35.92,Fear
2025-01-17,42.25,Fear
2025-01-16,61.20,Greed
2025-01-15,50.01,Neutral
2025-01-14,49.39,Neutral
2025-01-13,44.92,Fear
2025-01-12,47.88,Neutral
2025-01-11,47.60,Neutral
2025-01-10,37.97,Fear
2025-01-09,42.37,Fear
2025-01-08,53.42,Neutral
2025-01-07,43.19,Fear
2025-01-06,52.68,Neutral
2025-01-05,49.86,Neutral
2025-01-04,50.27,Neutral
2025-01-03,46.60,Neutral
2025-01-02,42.97,Fear
2025-01-01,52.01,Neutral
2024-12-31,50.00,Neutral
2024-12-30,41.61,Fear
2024-12-29,42.79,Fear
2024-12-28,35.81,Fear
2024-12-27,37.18,Fear
2024-12-26,39.63,Fear
2024-12-25,51.68,Neutral
2024-12-24,46.36,Neutral
2024-12-23,51.27,Neutral
2024-12-22,51.22,Neutral
2024-12-21,50.99,Neutral
2024-12-20,45.96,Neutral
2024-12-19,40.71,Fear
2024-12-18,47.21,Neutral
2024-12-17,39.56,Fear
2024-12-16,40.91,Fear
2024-12-15,33.31,Fear
2024-12-14,40.53,Fear
