Date,Sentiment,Label
2023-04-17,49.82,Neutral
2023-04-18,49.82,Neutral
2023-04-19,40.05,Neutral
2023-04-20,24.43,Fear
2023-04-21,8.56,Extreme Fear
2023-04-22,3.33,Extreme Fear
2023-04-23,3.33,Extreme Fear
2023-04-24,22.78,Fear
2023-04-25,36.97,Fear
2023-04-26,37.83,Fear
2023-04-27,25.33,Fear
2023-04-28,18.07,Extreme Fear
2023-04-29,25.81,Fear
2023-04-30,25.81,Fear
2023-05-01,29.61,Fear
2023-05-02,33.41,Fear
2023-05-03,37.21,Fear
2023-05-04,37.21,Fear
2023-05-05,37.21,Fear
2023-05-06,37.21,Fear
2023-05-07,37.21,Fear
2023-05-08,41.26,Neutral
2023-05-09,49.84,Neutral
2023-05-10,46.75,Neutral
2023-05-11,46.73,Neutral
2023-05-12,42.17,Neutral
2023-05-13,49.29,Neutral
2023-05-14,41.56,Neutral
2023-05-15,43.89,Neutral
2023-05-16,31.43,Fear
2023-05-17,29.85,Fear
2023-05-18,31.92,Fear
2023-05-19,48.79,Neutral
2023-05-20,62.50,Greed
2023-05-21,62.50,Greed
2023-05-22,51.13,Neutral
2023-05-23,39.76,Fear
2023-05-24,28.38,Fear
2023-05-25,33.31,Fear
2023-05-26,38.23,Fear
2023-05-27,43.15,Neutral
2023-05-28,43.15,Neutral
2023-05-29,43.15,Neutral
2023-05-30,43.15,Neutral
2023-05-31,43.15,Neutral
2023-06-01,33.06,Fear
2023-06-02,22.98,Fear
2023-06-03,12.89,Extreme Fear
2023-06-04,17.50,Extreme Fear
2023-06-05,13.81,Extreme Fear
2023-06-06,19.04,Extreme Fear
2023-06-07,15.41,Extreme Fear
2023-06-08,20.07,Fear
2023-06-09,15.82,Extreme Fear
2023-06-10,15.82,Extreme Fear
2023-06-11,15.82,Extreme Fear
2023-06-12,15.82,Extreme Fear
2023-06-13,15.82,Extreme Fear
2023-06-14,22.68,Fear
2023-06-15,27.00,Fear
2023-06-16,31.32,Fear
2023-06-17,28.77,Fear
2023-06-18,28.77,Fear
2023-06-19,28.77,Fear
2023-06-20,40.30,Neutral
2023-06-21,42.14,Neutral
2023-06-22,43.98,Neutral
2023-06-23,34.29,Fear
2023-06-24,34.29,Fear
2023-06-25,34.29,Fear
2023-06-26,39.29,Fear
2023-06-27,45.04,Neutral
2023-06-28,43.72,Neutral
2023-06-29,37.39,Fear
2023-06-30,30.31,Fear
2023-07-01,30.31,Fear
2023-07-02,30.31,Fear
2023-07-03,30.31,Fear
2023-07-04,30.31,Fear
2023-07-05,30.31,Fear
2023-07-06,39.89,Fear
2023-07-07,49.47,Neutral
2023-07-08,59.04,Neutral
2023-07-09,59.04,Neutral
2023-07-10,61.17,Greed
2023-07-11,62.01,Greed
2023-07-12,50.76,Neutral
2023-07-13,39.79,Fear
2023-07-14,30.10,Fear
2023-07-15,32.50,Fear
2023-07-16,32.11,Fear
2023-07-17,31.34,Fear
2023-07-18,23.33,Fear
2023-07-19,20.29,Fear
2023-07-20,10.23,Extreme Fear
2023-07-21,9.08,Extreme Fear
2023-07-22,3.33,Extreme Fear
2023-07-23,3.33,Extreme Fear
2023-07-24,7.95,Extreme Fear
2023-07-25,20.47,Fear
2023-07-26,33.08,Fear
2023-07-27,40.93,Neutral
2023-07-28,40.87,Neutral
2023-07-29,42.39,Neutral
2023-07-30,42.39,Neutral
2023-07-31,42.57,Neutral
2023-08-01,33.58,Fear
2023-08-02,23.55,Fear
