Date,Sentiment,Label
2023-04-17,54.04,Neutral
2023-04-18,54.04,Neutral
2023-04-19,52.88,Neutral
2023-04-20,52.40,Neutral
2023-04-21,54.72,Neutral
2023-04-22,50.97,Neutral
2023-04-23,52.56,Neutral
2023-04-24,54.73,Neutral
2023-04-25,56.45,Neutral
2023-04-26,45.99,Neutral
2023-04-27,42.52,Neutral
2023-04-28,39.51,Fear
2023-04-29,36.62,Fear
2023-04-30,36.15,Fear
2023-05-01,38.57,Fear
2023-05-02,47.87,Neutral
2023-05-03,50.86,Neutral
2023-05-04,39.96,Fear
2023-05-05,32.64,Fear
2023-05-06,21.65,Fear
2023-05-07,29.16,Fear
2023-05-08,42.15,Neutral
2023-05-09,45.94,Neutral
2023-05-10,44.75,Neutral
2023-05-11,39.08,Fear
2023-05-12,42.61,Neutral
2023-05-13,43.60,Neutral
2023-05-14,48.16,Neutral
2023-05-15,47.68,Neutral
2023-05-16,47.12,Neutral
2023-05-17,45.74,Neutral
2023-05-18,52.62,Neutral
2023-05-19,59.58,Neutral
2023-05-20,62.80,Greed
2023-05-21,59.63,Neutral
2023-05-22,52.25,Neutral
2023-05-23,45.20,Neutral
2023-05-24,44.62,Neutral
2023-05-25,49.07,Neutral
2023-05-26,53.20,Neutral
2023-05-27,54.03,Neutral
2023-05-28,56.06,Neutral
2023-05-29,58.90,Neutral
2023-05-30,43.48,Neutral
2023-05-31,43.76,Neutral
2023-06-01,40.66,Neutral
2023-06-02,55.82,Neutral
2023-06-03,53.24,Neutral
2023-06-04,56.43,Neutral
2023-06-05,59.92,Neutral
2023-06-06,58.12,Neutral
2023-06-07,55.01,Neutral
2023-06-08,49.11,Neutral
2023-06-09,48.49,Neutral
2023-06-10,45.99,Neutral
2023-06-11,49.20,Neutral
2023-06-12,51.84,Neutral
2023-06-13,52.35,Neutral
2023-06-14,53.31,Neutral
2023-06-15,51.08,Neutral
2023-06-16,50.97,Neutral
2023-06-17,47.21,Neutral
2023-06-18,49.74,Neutral
2023-06-19,48.76,Neutral
2023-06-20,52.23,Neutral
2023-06-21,49.71,Neutral
2023-06-22,47.59,Neutral
2023-06-23,46.50,Neutral
2023-06-24,40.88,Neutral
2023-06-25,39.93,Fear
2023-06-26,35.79,Fear
2023-06-27,42.67,Neutral
2023-06-28,46.57,Neutral
2023-06-29,49.58,Neutral
2023-06-30,49.56,Neutral
2023-07-01,50.98,Neutral
2023-07-02,49.42,Neutral
2023-07-03,53.66,Neutral
2023-07-04,50.12,Neutral
2023-07-05,53.19,Neutral
2023-07-06,45.52,Neutral
2023-07-07,45.63,Neutral
2023-07-08,40.69,Neutral
2023-07-09,46.39,Neutral
2023-07-10,54.03,Neutral
2023-07-11,58.41,Neutral
2023-07-12,58.41,Neutral
2023-07-13,52.58,Neutral
2023-07-14,50.02,Neutral
2023-07-15,46.13,Neutral
2023-07-16,52.30,Neutral
