Date,Sentiment,Label
2023-04-17,47.83,Neutral
2023-04-18,47.83,Neutral
2023-04-19,36.14,Fear
2023-04-20,37.44,Fear
2023-04-21,22.96,Fear
2023-04-22,22.17,Fear
2023-04-23,15.95,Extreme Fear
2023-04-24,27.03,Fear
2023-04-25,41.70,Neutral
2023-04-26,46.31,Neutral
2023-04-27,49.27,Neutral
2023-04-28,48.62,Neutral
2023-04-29,48.60,Neutral
2023-04-30,49.58,Neutral
2023-05-01,54.43,Neutral
2023-05-02,53.94,Neutral
2023-05-03,48.71,Neutral
2023-05-04,40.44,Neutral
2023-05-05,37.53,Fear
2023-05-06,38.37,Fear
2023-05-07,25.58,Fear
2023-05-08,21.67,Fear
2023-05-09,23.32,Fear
2023-05-10,39.31,Fear
2023-05-11,51.53,Neutral
2023-05-12,58.18,Neutral
2023-05-13,63.28,Greed
2023-05-14,54.10,Neutral
2023-05-15,50.44,Neutral
2023-05-16,46.88,Neutral
2023-05-17,39.67,Fear
2023-05-18,39.29,Fear
2023-05-19,38.80,Fear
2023-05-20,51.15,Neutral
2023-05-21,52.90,Neutral
2023-05-22,56.67,Neutral
2023-05-23,56.43,Neutral
2023-05-24,45.22,Neutral
2023-05-25,30.58,Fear
2023-05-26,19.95,Extreme Fear
2023-05-27,18.54,Extreme Fear
2023-05-28,27.65,Fear
2023-05-29,36.37,Fear
2023-05-30,33.04,Fear
2023-05-31,25.15,Fear
2023-06-01,19.80,Extreme Fear
2023-06-02,26.49,Fear
2023-06-03,28.62,Fear
2023-06-04,28.64,Fear
2023-06-05,32.02,Fear
2023-06-06,28.55,Fear
2023-06-07,31.72,Fear
2023-06-08,37.94,Fear
2023-06-09,50.99,Neutral
2023-06-10,57.39,Neutral
2023-06-11,54.24,Neutral
2023-06-12,50.67,Neutral
2023-06-13,42.24,Neutral
2023-06-14,41.24,Neutral
2023-06-15,41.08,Neutral
2023-06-16,45.78,Neutral
2023-06-17,46.20,Neutral
2023-06-18,51.76,Neutral
2023-06-19,41.95,Neutral
2023-06-20,39.01,Fear
2023-06-21,34.43,Fear
2023-06-22,39.68,Fear
2023-06-23,38.05,Fear
2023-06-24,32.51,Fear
2023-06-25,38.42,Fear
2023-06-26,42.13,Neutral
2023-06-27,35.65,Fear
2023-06-28,27.93,Fear
2023-06-29,15.09,Extreme Fear
2023-06-30,12.45,Extreme Fear
2023-07-01,5.14,Extreme Fear
2023-07-02,12.21,Extreme Fear
2023-07-03,26.96,Fear
2023-07-04,34.17,Fear
2023-07-05,35.23,Fear
2023-07-06,39.59,Fear
2023-07-07,51.50,Neutral
2023-07-08,62.50,Greed
2023-07-09,45.41,Neutral
2023-07-10,42.65,Neutral
2023-07-11,38.37,Fear
2023-07-12,50.67,Neutral
2023-07-13,47.35,Neutral
2023-07-14,45.54,Neutral
2023-07-15,44.25,Neutral
2023-07-16,43.31,Neutral
2023-07-17,40.00,Fear
2023-07-18,46.36,Neutral
2023-07-19,50.00,Neutral
2023-07-20,57.79,Neutral
2023-07-21,55.90,Neutral
2023-07-22,57.67,Neutral
2023-07-23,59.85,Neutral
2023-07-24,59.39,Neutral
2023-07-25,49.87,Neutral
2023-07-26,49.32,Neutral
2023-07-27,40.84,Neutral
2023-07-28,41.43,Neutral
2023-07-29,30.86,Fear
2023-07-30,33.14,Fear
2023-07-31,28.86,Fear
2023-08-01,31.52,Fear
2023-08-02,28.19,Fear
2023-08-03,43.15,Neutral
2023-08-04,51.16,Neutral
2023-08-05,62.89,Greed
2023-08-06,57.17,Neutral
2023-08-07,49.91,Neutral
2023-08-08,36.41,Fear
2023-08-09,39.74,Fear
2023-08-10,29.70,Fear
2023-08-11,25.90,Fear
2023-08-12,11.00,Extreme Fear
2023-08-13,20.99,Fear
2023-08-14,30.99,Fear
2023-08-15,33.34,Fear
2023-08-16,23.43,Fear
2023-08-17,16.58,Extreme Fear
2023-08-18,17.38,Extreme Fear
2023-08-19,20.46,Fear
2023-08-20,24.06,Fear
2023-08-21,26.36,Fear
2023-08-22,30.51,Fear
2023-08-23,23.50,Fear
2023-08-24,27.91,Fear
2023-08-25,30.47,Fear
2023-08-26,27.06,Fear
2023-08-27,22.72,Fear
2023-08-28,17.62,Extreme Fear
2023-08-29,34.19,Fear
2023-08-30,25.26,Fear
2023-08-31,27.03,Fear
2023-09-01,20.67,Fear
2023-09-02,30.62,Fear
2023-09-03,30.62,Fear
2023-09-04,28.44,Fear
2023-09-05,33.06,Fear
2023-09-06,27.42,Fear
2023-09-07,33.09,Fear
2023-09-08,31.95,Fear
2023-09-09,41.08,Neutral
2023-09-10,41.41,Neutral
2023-09-11,47.93,Neutral
