Date,Sentiment,Label
2023-04-17,45.70,Neutral
2023-04-18,45.70,Neutral
2023-04-19,49.87,Neutral
2023-04-20,37.33,Fear
2023-04-21,30.69,Fear
2023-04-22,20.16,Fear
2023-04-23,28.80,Fear
2023-04-24,35.27,Fear
2023-04-25,39.73,Fear
2023-04-26,34.69,Fear
2023-04-27,33.68,Fear
2023-04-28,34.69,Fear
2023-04-29,36.54,Fear
2023-04-30,28.04,Fear
2023-05-01,25.62,Fear
2023-05-02,23.10,Fear
2023-05-03,28.85,Fear
2023-05-04,27.31,Fear
2023-05-05,25.87,Fear
2023-05-06,24.66,Fear
2023-05-07,19.31,Extreme Fear
2023-05-08,24.85,Fear
2023-05-09,30.85,Fear
2023-05-10,45.29,Neutral
2023-05-11,39.01,Fear
2023-05-12,32.27,Fear
2023-05-13,22.43,Fear
2023-05-14,30.94,Fear
2023-05-15,43.92,Neutral
2023-05-16,52.27,Neutral
2023-05-17,42.40,Neutral
2023-05-18,32.83,Fear
2023-05-19,27.91,Fear
2023-05-20,32.70,Fear
2023-05-21,22.73,Fear
2023-05-22,13.49,Extreme Fear
2023-05-23,17.62,Extreme Fear
2023-05-24,32.53,Fear
2023-05-25,43.57,Neutral
2023-05-26,41.24,Neutral
2023-05-27,38.10,Fear
2023-05-28,38.10,Fear
2023-05-29,40.89,Neutral
2023-05-30,42.98,Neutral
2023-05-31,42.63,Neutral
2023-06-01,44.73,Neutral
2023-06-02,47.53,Neutral
2023-06-03,52.76,Neutral
2023-06-04,51.70,Neutral
2023-06-05,38.75,Fear
2023-06-06,25.80,Fear
2023-06-07,29.95,Fear
2023-06-08,46.15,Neutral
2023-06-09,62.35,Greed
2023-06-10,62.50,Greed
2023-06-11,61.61,Greed
2023-06-12,59.51,Neutral
2023-06-13,50.56,Neutral
2023-06-14,46.14,Neutral
2023-06-15,48.23,Neutral
2023-06-16,57.19,Neutral
2023-06-17,62.50,Greed
2023-06-18,62.50,Greed
2023-06-19,58.03,Neutral
2023-06-20,57.07,Neutral
2023-06-21,40.79,Neutral
2023-06-22,24.42,Fear
2023-06-23,6.22,Extreme Fear
2023-06-24,3.33,Extreme Fear
2023-06-25,15.81,Extreme Fear
2023-06-26,30.13,Fear
2023-06-27,49.16,Neutral
2023-06-28,54.73,Neutral
2023-06-29,51.44,Neutral
2023-06-30,43.45,Neutral
