Date,Sentiment,Label
2023-04-17,34.63,Fear
2023-04-18,34.63,Fear
2023-04-19,27.69,Fear
2023-04-20,29.19,Fear
2023-04-21,36.32,Fear
2023-04-22,33.61,Fear
2023-04-23,37.18,Fear
2023-04-24,46.83,Neutral
2023-04-25,43.94,Neutral
2023-04-26,47.37,Neutral
2023-04-27,37.81,Fear
2023-04-28,40.78,Neutral
2023-04-29,33.88,Fear
2023-04-30,32.62,Fear
2023-05-01,22.36,Fear
2023-05-02,13.85,Extreme Fear
2023-05-03,15.37,Extreme Fear
2023-05-04,23.23,Fear
2023-05-05,29.34,Fear
2023-05-06,26.69,Fear
2023-05-07,33.96,Fear
2023-05-08,30.96,Fear
2023-05-09,37.47,Fear
2023-05-10,36.52,Fear
2023-05-11,34.35,Fear
2023-05-12,39.91,Fear
2023-05-13,36.79,Fear
2023-05-14,48.68,Neutral
2023-05-15,38.40,Fear
2023-05-16,36.77,Fear
2023-05-17,33.77,Fear
2023-05-18,29.99,Fear
2023-05-19,26.45,Fear
2023-05-20,20.75,Fear
2023-05-21,22.67,Fear
2023-05-22,29.71,Fear
2023-05-23,34.13,Fear
2023-05-24,44.33,Neutral
2023-05-25,42.84,Neutral
2023-05-26,43.97,Neutral
2023-05-27,37.39,Fear
2023-05-28,37.39,Fear
2023-05-29,39.72,Fear
2023-05-30,34.25,Fear
2023-05-31,39.26,Fear
2023-06-01,43.89,Neutral
2023-06-02,56.32,Neutral
2023-06-03,58.28,Neutral
2023-06-04,42.50,Neutral
2023-06-05,32.67,Fear
2023-06-06,21.69,Fear
2023-06-07,31.08,Fear
2023-06-08,37.48,Fear
2023-06-09,45.02,Neutral
2023-06-10,47.99,Neutral
2023-06-11,47.41,Neutral
2023-06-12,41.72,Neutral
2023-06-13,38.77,Fear
2023-06-14,37.43,Fear
2023-06-15,47.96,Neutral
2023-06-16,34.91,Fear
2023-06-17,22.50,Fear
2023-06-18,6.21,Extreme Fear
2023-06-19,16.34,Extreme Fear
2023-06-20,25.38,Fear
2023-06-21,24.34,Fear
2023-06-22,35.12,Fear
2023-06-23,45.31,Neutral
2023-06-24,62.71,Greed
2023-06-25,60.38,Greed
2023-06-26,53.58,Neutral
2023-06-27,32.67,Fear
2023-06-28,35.01,Fear
2023-06-29,42.57,Neutral
2023-06-30,64.22,Greed
2023-07-01,64.97,Greed
2023-07-02,64.12,Greed
2023-07-03,63.64,Greed
2023-07-04,57.12,Neutral
2023-07-05,56.12,Neutral
2023-07-06,48.27,Neutral
2023-07-07,44.85,Neutral
2023-07-08,36.75,Fear
2023-07-09,41.17,Neutral
2023-07-10,49.44,Neutral
2023-07-11,54.32,Neutral
2023-07-12,50.13,Neutral
2023-07-13,39.51,Fear
2023-07-14,22.93,Fear
2023-07-15,11.03,Extreme Fear
2023-07-16,23.27,Fear
2023-07-17,39.78,Fear
2023-07-18,55.77,Neutral
2023-07-19,45.62,Neutral
2023-07-20,41.65,Neutral
2023-07-21,23.99,Fear
2023-07-22,14.20,Extreme Fear
2023-07-23,21.42,Fear
2023-07-24,37.20,Fear
2023-07-25,48.24,Neutral
2023-07-26,47.89,Neutral
2023-07-27,45.53,Neutral
2023-07-28,46.24,Neutral
2023-07-29,45.55,Neutral
2023-07-30,47.32,Neutral
2023-07-31,39.72,Fear
2023-08-01,37.18,Fear
2023-08-02,33.81,Fear
2023-08-03,39.31,Fear
2023-08-04,37.44,Fear
2023-08-05,40.12,Neutral
2023-08-06,48.95,Neutral
2023-08-07,37.32,Fear
2023-08-08,35.94,Fear
2023-08-09,30.96,Fear
2023-08-10,44.69,Neutral
2023-08-11,48.34,Neutral
2023-08-12,35.15,Fear
2023-08-13,35.39,Fear
2023-08-14,33.24,Fear
2023-08-15,45.33,Neutral
2023-08-16,48.15,Neutral
2023-08-17,40.76,Neutral
2023-08-18,39.32,Fear
2023-08-19,37.48,Fear
2023-08-20,47.16,Neutral
2023-08-21,46.78,Neutral
2023-08-22,48.21,Neutral
2023-08-23,39.75,Fear
2023-08-24,40.87,Neutral
2023-08-25,21.82,Fear
2023-08-26,32.05,Fear
2023-08-27,35.90,Fear
2023-08-28,57.38,Neutral
2023-08-29,55.96,Neutral
2023-08-30,50.79,Neutral
2023-08-31,43.62,Neutral
2023-09-01,33.89,Fear
2023-09-02,37.45,Fear
2023-09-03,37.91,Fear
2023-09-04,44.64,Neutral
2023-09-05,41.12,Neutral
2023-09-06,35.35,Fear
2023-09-07,30.42,Fear
2023-09-08,37.23,Fear
2023-09-09,43.70,Neutral
2023-09-10,54.04,Neutral
2023-09-11,46.50,Neutral
2023-09-12,45.11,Neutral
2023-09-13,41.20,Neutral
2023-09-14,45.26,Neutral
2023-09-15,48.20,Neutral
2023-09-16,47.03,Neutral
2023-09-17,46.17,Neutral
2023-09-18,36.38,Fear
2023-09-19,37.05,Fear
2023-09-20,32.23,Fear
2023-09-21,31.39,Fear
2023-09-22,16.13,Extreme Fear
2023-09-23,16.05,Extreme Fear
2023-09-24,27.02,Fear
2023-09-25,41.27,Neutral
2023-09-26,48.86,Neutral
2023-09-27,48.14,Neutral
2023-09-28,44.39,Neutral
2023-09-29,27.15,Fear
2023-09-30,22.59,Fear
2023-10-01,27.37,Fear
2023-10-02,43.00,Neutral
2023-10-03,40.77,Neutral
2023-10-04,36.31,Fear
2023-10-05,34.49,Fear
2023-10-06,45.69,Neutral
2023-10-07,55.89,Neutral
2023-10-08,59.31,Neutral
2023-10-09,55.82,Neutral
2023-10-10,46.77,Neutral
2023-10-11,43.95,Neutral
2023-10-12,46.64,Neutral
2023-10-13,48.88,Neutral
2023-10-14,42.94,Neutral
2023-10-15,40.31,Neutral
2023-10-16,41.78,Neutral
2023-10-17,45.30,Neutral
2023-10-18,45.10,Neutral
2023-10-19,37.60,Fear
2023-10-20,46.44,Neutral
2023-10-21,44.04,Neutral
2023-10-22,42.92,Neutral
2023-10-23,40.74,Neutral
2023-10-24,37.39,Fear
2023-10-25,41.20,Neutral
2023-10-26,33.08,Fear
2023-10-27,29.66,Fear
2023-10-28,32.18,Fear
2023-10-29,38.44,Fear
2023-10-30,44.53,Neutral
2023-10-31,45.49,Neutral
2023-11-01,38.69,Fear
2023-11-02,40.15,Neutral
2023-11-03,46.90,Neutral
2023-11-04,56.01,Neutral
2023-11-05,55.60,Neutral
2023-11-06,45.24,Neutral
2023-11-07,41.83,Neutral
2023-11-08,40.20,Neutral
2023-11-09,37.81,Fear
2023-11-10,36.64,Fear
2023-11-11,41.73,Neutral
2023-11-12,38.56,Fear
2023-11-13,32.46,Fear
2023-11-14,31.52,Fear
2023-11-15,38.20,Fear
2023-11-16,41.52,Neutral
2023-11-17,23.62,Fear
2023-11-18,32.72,Fear
2023-11-19,32.23,Fear
2023-11-20,48.08,Neutral
2023-11-21,43.99,Neutral
2023-11-22,46.77,Neutral
2023-11-23,43.32,Neutral
2023-11-24,44.15,Neutral
2023-11-25,46.48,Neutral
2023-11-26,49.52,Neutral
2023-11-27,41.64,Neutral
2023-11-28,39.15,Fear
2023-11-29,35.94,Fear
2023-11-30,38.50,Fear
2023-12-01,32.15,Fear
2023-12-02,40.19,Neutral
2023-12-03,41.68,Neutral
2023-12-04,42.55,Neutral
2023-12-05,28.99,Fear
2023-12-06,23.96,Fear
2023-12-07,27.06,Fear
2023-12-08,28.59,Fear
2023-12-09,30.81,Fear
2023-12-10,32.26,Fear
2023-12-11,39.85,Fear
2023-12-12,39.81,Fear
2023-12-13,38.64,Fear
2023-12-14,34.18,Fear
2023-12-15,34.48,Fear
2023-12-16,35.48,Fear
2023-12-17,32.57,Fear
2023-12-18,31.92,Fear
2023-12-19,35.91,Fear
2023-12-20,37.68,Fear
2023-12-21,41.83,Neutral
2023-12-22,31.13,Fear
2023-12-23,30.76,Fear
2023-12-24,31.61,Fear
2023-12-25,44.61,Neutral
2023-12-26,52.82,Neutral
2023-12-27,50.68,Neutral
2023-12-28,45.63,Neutral
2023-12-29,39.20,Fear
2023-12-30,37.31,Fear
2023-12-31,34.97,Fear
2024-01-01,38.68,Fear
2024-01-02,48.27,Neutral
2024-01-03,56.33,Neutral
2024-01-04,51.55,Neutral
2024-01-05,40.90,Neutral
2024-01-06,31.77,Fear
