Date,Sentiment,Label
2023-04-17,49.41,Neutral
2023-04-18,49.41,Neutral
2023-04-19,47.09,Neutral
2023-04-20,47.66,Neutral
2023-04-21,41.61,Neutral
2023-04-22,38.24,Fear
2023-04-23,42.09,Neutral
2023-04-24,43.16,Neutral
2023-04-25,48.10,Neutral
2023-04-26,40.23,Neutral
2023-04-27,39.70,Fear
2023-04-28,35.28,Fear
2023-04-29,39.83,Fear
2023-04-30,47.02,Neutral
2023-05-01,47.93,Neutral
2023-05-02,47.43,Neutral
2023-05-03,39.00,Fear
2023-05-04,35.16,Fear
2023-05-05,32.72,Fear
2023-05-06,31.02,Fear
2023-05-07,39.18,Fear
2023-05-08,43.04,Neutral
2023-05-09,48.00,Neutral
2023-05-10,43.44,Neutral
2023-05-11,41.67,Neutral
2023-05-12,38.80,Fear
2023-05-13,37.29,Fear
2023-05-14,39.49,Fear
2023-05-15,34.83,Fear
2023-05-16,25.69,Fear
2023-05-17,32.19,Fear
2023-05-18,38.81,Fear
2023-05-19,49.90,Neutral
2023-05-20,43.16,Neutral
2023-05-21,48.55,Neutral
2023-05-22,45.38,Neutral
2023-05-23,47.47,Neutral
2023-05-24,42.73,Neutral
2023-05-25,46.86,Neutral
2023-05-26,45.74,Neutral
2023-05-27,46.06,Neutral
2023-05-28,46.06,Neutral
2023-05-29,50.32,Neutral
2023-05-30,51.07,Neutral
2023-05-31,52.79,Neutral
2023-06-01,45.80,Neutral
2023-06-02,42.34,Neutral
2023-06-03,37.89,Fear
2023-06-04,41.86,Neutral
2023-06-05,39.42,Fear
2023-06-06,42.70,Neutral
2023-06-07,43.89,Neutral
2023-06-08,51.87,Neutral
2023-06-09,54.13,Neutral
2023-06-10,54.52,Neutral
2023-06-11,57.35,Neutral
2023-06-12,45.01,Neutral
2023-06-13,38.23,Fear
2023-06-14,25.64,Fear
2023-06-15,30.09,Fear
2023-06-16,28.98,Fear
2023-06-17,30.85,Fear
2023-06-18,35.33,Fear
2023-06-19,36.86,Fear
2023-06-20,43.44,Neutral
2023-06-21,47.44,Neutral
2023-06-22,49.61,Neutral
2023-06-23,46.73,Neutral
2023-06-24,41.93,Neutral
2023-06-25,39.59,Fear
2023-06-26,43.26,Neutral
2023-06-27,40.87,Neutral
2023-06-28,41.79,Neutral
2023-06-29,38.95,Fear
2023-06-30,42.17,Neutral
2023-07-01,44.42,Neutral
2023-07-02,39.51,Fear
2023-07-03,39.38,Fear
2023-07-04,36.84,Fear
2023-07-05,41.66,Neutral
2023-07-06,42.91,Neutral
2023-07-07,46.57,Neutral
2023-07-08,47.78,Neutral
2023-07-09,46.29,Neutral
2023-07-10,50.46,Neutral
2023-07-11,48.10,Neutral
2023-07-12,42.94,Neutral
2023-07-13,32.00,Fear
2023-07-14,27.59,Fear
2023-07-15,27.46,Fear
2023-07-16,28.27,Fear
2023-07-17,31.43,Fear
2023-07-18,39.49,Fear
2023-07-19,38.76,Fear
2023-07-20,41.30,Neutral
2023-07-21,38.95,Fear
2023-07-22,44.57,Neutral
2023-07-23,41.95,Neutral
2023-07-24,35.65,Fear
2023-07-25,29.39,Fear
2023-07-26,30.37,Fear
2023-07-27,33.20,Fear
2023-07-28,36.00,Fear
2023-07-29,34.18,Fear
2023-07-30,26.50,Fear
2023-07-31,23.82,Fear
2023-08-01,24.09,Fear
2023-08-02,29.18,Fear
2023-08-03,31.14,Fear
2023-08-04,26.45,Fear
2023-08-05,24.62,Fear
2023-08-06,13.96,Extreme Fear
2023-08-07,18.91,Extreme Fear
2023-08-08,23.22,Fear
2023-08-09,38.31,Fear
2023-08-10,40.99,Neutral
2023-08-11,44.31,Neutral
2023-08-12,43.83,Neutral
2023-08-13,43.47,Neutral
2023-08-14,33.03,Fear
2023-08-15,36.23,Fear
2023-08-16,37.98,Fear
2023-08-17,42.02,Neutral
2023-08-18,32.43,Fear
2023-08-19,24.65,Fear
2023-08-20,28.07,Fear
2023-08-21,33.13,Fear
2023-08-22,38.51,Fear
2023-08-23,39.07,Fear
2023-08-24,38.90,Fear
2023-08-25,25.30,Fear
2023-08-26,14.77,Extreme Fear
2023-08-27,13.20,Extreme Fear
2023-08-28,30.79,Fear
2023-08-29,44.43,Neutral
2023-08-30,45.59,Neutral
2023-08-31,43.50,Neutral
2023-09-01,44.00,Neutral
2023-09-02,47.12,Neutral
2023-09-03,47.63,Neutral
2023-09-04,43.58,Neutral
2023-09-05,35.77,Fear
2023-09-06,28.81,Fear
2023-09-07,34.07,Fear
2023-09-08,43.69,Neutral
2023-09-09,52.26,Neutral
2023-09-10,47.28,Neutral
2023-09-11,42.20,Neutral
2023-09-12,33.92,Fear
2023-09-13,40.38,Neutral
2023-09-14,43.01,Neutral
2023-09-15,48.84,Neutral
2023-09-16,45.52,Neutral
2023-09-17,45.94,Neutral
2023-09-18,42.63,Neutral
2023-09-19,38.33,Fear
2023-09-20,38.21,Fear
2023-09-21,32.59,Fear
2023-09-22,27.95,Fear
2023-09-23,18.69,Extreme Fear
2023-09-24,26.16,Fear
2023-09-25,33.45,Fear
2023-09-26,35.69,Fear
2023-09-27,36.40,Fear
2023-09-28,37.29,Fear
2023-09-29,38.82,Fear
2023-09-30,34.40,Fear
2023-10-01,36.68,Fear
2023-10-02,46.01,Neutral
2023-10-03,55.49,Neutral
2023-10-04,52.95,Neutral
2023-10-05,51.37,Neutral
2023-10-06,46.01,Neutral
2023-10-07,35.79,Fear
2023-10-08,33.14,Fear
2023-10-09,34.19,Fear
2023-10-10,43.81,Neutral
2023-10-11,42.94,Neutral
2023-10-12,46.23,Neutral
2023-10-13,51.12,Neutral
2023-10-14,55.34,Neutral
2023-10-15,52.39,Neutral
2023-10-16,47.17,Neutral
2023-10-17,45.07,Neutral
2023-10-18,39.00,Fear
2023-10-19,34.98,Fear
2023-10-20,27.83,Fear
2023-10-21,27.61,Fear
2023-10-22,33.17,Fear
2023-10-23,38.17,Fear
2023-10-24,39.57,Fear
2023-10-25,37.76,Fear
2023-10-26,36.75,Fear
2023-10-27,36.67,Fear
2023-10-28,34.24,Fear
2023-10-29,31.45,Fear
2023-10-30,32.93,Fear
2023-10-31,33.80,Fear
2023-11-01,38.57,Fear
2023-11-02,39.04,Fear
2023-11-03,40.11,Neutral
2023-11-04,36.55,Fear
2023-11-05,37.80,Fear
2023-11-06,41.24,Neutral
2023-11-07,42.31,Neutral
2023-11-08,37.63,Fear
2023-11-09,32.59,Fear
2023-11-10,34.30,Fear
2023-11-11,39.67,Fear
2023-11-12,43.97,Neutral
2023-11-13,42.75,Neutral
2023-11-14,42.00,Neutral
2023-11-15,39.74,Fear
2023-11-16,40.72,Neutral
2023-11-17,41.23,Neutral
2023-11-18,42.47,Neutral
2023-11-19,36.03,Fear
2023-11-20,33.39,Fear
2023-11-21,37.26,Fear
2023-11-22,50.61,Neutral
2023-11-23,52.62,Neutral
2023-11-24,55.76,Neutral
2023-11-25,55.85,Neutral
2023-11-26,43.48,Neutral
2023-11-27,33.95,Fear
2023-11-28,21.69,Fear
2023-11-29,32.09,Fear
2023-11-30,34.44,Fear
2023-12-01,39.53,Fear
2023-12-02,41.97,Neutral
2023-12-03,38.60,Fear
2023-12-04,41.63,Neutral
2023-12-05,44.18,Neutral
2023-12-06,49.60,Neutral
2023-12-07,42.17,Neutral
2023-12-08,29.45,Fear
2023-12-09,23.99,Fear
2023-12-10,28.94,Fear
2023-12-11,32.46,Fear
2023-12-12,27.91,Fear
2023-12-13,21.81,Fear
2023-12-14,28.51,Fear
2023-12-15,36.52,Fear
2023-12-16,49.02,Neutral
2023-12-17,53.30,Neutral
2023-12-18,54.85,Neutral
2023-12-19,43.62,Neutral
2023-12-20,40.45,Neutral
2023-12-21,41.47,Neutral
2023-12-22,48.40,Neutral
2023-12-23,49.85,Neutral
2023-12-24,51.32,Neutral
2023-12-25,49.73,Neutral
2023-12-26,48.63,Neutral
2023-12-27,41.87,Neutral
2023-12-28,35.54,Fear
2023-12-29,28.72,Fear
2023-12-30,26.09,Fear
2023-12-31,26.09,Fear
2024-01-01,17.39,Extreme Fear
2024-01-02,29.95,Fear
2024-01-03,41.62,Neutral
2024-01-04,62.11,Greed
2024-01-05,61.34,Greed
2024-01-06,61.45,Greed
2024-01-07,56.52,Neutral
2024-01-08,50.59,Neutral
2024-01-09,51.78,Neutral
2024-01-10,58.08,Neutral
2024-01-11,59.40,Neutral
2024-01-12,53.58,Neutral
2024-01-13,47.60,Neutral
2024-01-14,44.96,Neutral
2024-01-15,33.04,Fear
2024-01-16,33.18,Fear
2024-01-17,35.94,Fear
2024-01-18,53.16,Neutral
2024-01-19,58.32,Neutral
2024-01-20,63.48,Greed
2024-01-21,63.75,Greed
2024-01-22,47.21,Neutral
2024-01-23,35.31,Fear
2024-01-24,34.98,Fear
2024-01-25,46.75,Neutral
2024-01-26,53.86,Neutral
2024-01-27,49.15,Neutral
2024-01-28,50.42,Neutral
2024-01-29,47.43,Neutral
2024-01-30,52.68,Neutral
2024-01-31,54.30,Neutral
2024-02-01,62.23,Greed
2024-02-02,61.92,Greed
2024-02-03,63.98,Greed
2024-02-04,56.10,Neutral
2024-02-05,52.22,Neutral
2024-02-06,52.95,Neutral
2024-02-07,60.65,Greed
2024-02-08,64.45,Greed
2024-02-09,63.63,Greed
2024-02-10,63.73,Greed
2024-02-11,56.91,Neutral
2024-02-12,57.04,Neutral
2024-02-13,53.85,Neutral
2024-02-14,50.36,Neutral
2024-02-15,38.90,Fear
2024-02-16,30.76,Fear
2024-02-17,29.75,Fear
2024-02-18,41.24,Neutral
2024-02-19,52.14,Neutral
2024-02-20,59.35,Neutral
2024-02-21,54.98,Neutral
2024-02-22,49.87,Neutral
2024-02-23,48.44,Neutral
2024-02-24,47.10,Neutral
2024-02-25,44.30,Neutral
2024-02-26,41.81,Neutral
2024-02-27,38.82,Fear
2024-02-28,41.67,Neutral
2024-02-29,40.68,Neutral
2024-03-01,40.18,Neutral
2024-03-02,36.67,Fear
2024-03-03,37.56,Fear
2024-03-04,40.85,Neutral
2024-03-05,49.79,Neutral
2024-03-06,50.24,Neutral
2024-03-07,52.94,Neutral
2024-03-08,49.99,Neutral
2024-03-09,54.64,Neutral
2024-03-10,57.95,Neutral
2024-03-11,59.40,Neutral
2024-03-12,62.62,Greed
2024-03-13,54.90,Neutral
2024-03-14,45.81,Neutral
2024-03-15,34.96,Fear
2024-03-16,31.72,Fear
2024-03-17,42.70,Neutral
2024-03-18,48.65,Neutral
2024-03-19,54.76,Neutral
2024-03-20,49.64,Neutral
2024-03-21,51.82,Neutral
2024-03-22,53.83,Neutral
2024-03-23,56.10,Neutral
2024-03-24,58.72,Neutral
2024-03-25,51.82,Neutral
2024-03-26,51.68,Neutral
2024-03-27,49.15,Neutral
2024-03-28,46.31,Neutral
2024-03-29,36.71,Fear
2024-03-30,26.88,Fear
2024-03-31,30.41,Fear
2024-04-01,34.75,Fear
2024-04-02,43.65,Neutral
2024-04-03,46.41,Neutral
2024-04-04,37.47,Fear
2024-04-05,23.96,Fear
2024-04-06,13.06,Extreme Fear
2024-04-07,21.14,Fear
2024-04-08,33.89,Fear
2024-04-09,47.53,Neutral
2024-04-10,49.84,Neutral
2024-04-11,43.63,Neutral
2024-04-12,36.54,Fear
2024-04-13,32.69,Fear
2024-04-14,38.51,Fear
2024-04-15,45.56,Neutral
2024-04-16,52.26,Neutral
2024-04-17,49.78,Neutral
2024-04-18,44.35,Neutral
2024-04-19,39.27,Fear
2024-04-20,37.54,Fear
2024-04-21,36.81,Fear
2024-04-22,37.64,Fear
2024-04-23,38.45,Fear
2024-04-24,43.89,Neutral
2024-04-25,47.12,Neutral
2024-04-26,50.37,Neutral
2024-04-27,49.72,Neutral
2024-04-28,49.13,Neutral
2024-04-29,49.79,Neutral
2024-04-30,48.32,Neutral
2024-05-01,48.02,Neutral
2024-05-02,51.63,Neutral
2024-05-03,57.35,Neutral
2024-05-04,62.50,Greed
2024-05-05,59.01,Neutral
2024-05-06,55.40,Neutral
2024-05-07,45.39,Neutral
2024-05-08,49.07,Neutral
2024-05-09,52.49,Neutral
2024-05-10,62.32,Greed
2024-05-11,61.95,Greed
2024-05-12,62.14,Greed
2024-05-13,58.53,Neutral
2024-05-14,49.61,Neutral
2024-05-15,42.02,Neutral
2024-05-16,46.14,Neutral
2024-05-17,55.58,Neutral
2024-05-18,63.48,Greed
2024-05-19,55.48,Neutral
2024-05-20,51.63,Neutral
2024-05-21,51.71,Neutral
2024-05-22,53.86,Neutral
2024-05-23,53.14,Neutral
2024-05-24,48.49,Neutral
2024-05-25,49.77,Neutral
2024-05-26,54.26,Neutral
2024-05-27,54.44,Neutral
2024-05-28,47.56,Neutral
2024-05-29,45.14,Neutral
2024-05-30,43.57,Neutral
2024-05-31,49.06,Neutral
2024-06-01,45.61,Neutral
2024-06-02,48.69,Neutral
2024-06-03,51.24,Neutral
2024-06-04,51.78,Neutral
2024-06-05,47.44,Neutral
2024-06-06,37.73,Fear
2024-06-07,30.02,Fear
2024-06-08,24.10,Fear
2024-06-09,37.28,Fear
2024-06-10,49.05,Neutral
2024-06-11,60.95,Greed
2024-06-12,58.29,Neutral
2024-06-13,58.68,Neutral
2024-06-14,58.94,Neutral
2024-06-15,60.59,Greed
2024-06-16,53.72,Neutral
2024-06-17,54.65,Neutral
2024-06-18,55.61,Neutral
2024-06-19,57.95,Neutral
2024-06-20,52.15,Neutral
2024-06-21,46.31,Neutral
2024-06-22,45.96,Neutral
2024-06-23,43.84,Neutral
2024-06-24,48.23,Neutral
2024-06-25,52.83,Neutral
2024-06-26,53.66,Neutral
2024-06-27,51.44,Neutral
2024-06-28,49.01,Neutral
2024-06-29,52.46,Neutral
2024-06-30,44.37,Neutral
2024-07-01,38.05,Fear
2024-07-02,32.05,Fear
2024-07-03,43.50,Neutral
2024-07-04,51.74,Neutral
2024-07-05,59.67,Neutral
2024-07-06,58.25,Neutral
2024-07-07,50.76,Neutral
2024-07-08,50.74,Neutral
2024-07-09,50.47,Neutral
2024-07-10,56.99,Neutral
2024-07-11,51.77,Neutral
2024-07-12,46.81,Neutral
2024-07-13,49.45,Neutral
2024-07-14,52.59,Neutral
2024-07-15,50.19,Neutral
2024-07-16,46.07,Neutral
2024-07-17,47.46,Neutral
2024-07-18,48.03,Neutral
2024-07-19,43.42,Neutral
2024-07-20,37.06,Fear
2024-07-21,35.01,Fear
2024-07-22,39.72,Fear
2024-07-23,37.05,Fear
2024-07-24,40.17,Neutral
2024-07-25,37.77,Fear
2024-07-26,42.73,Neutral
2024-07-27,43.96,Neutral
2024-07-28,45.41,Neutral
2024-07-29,46.54,Neutral
2024-07-30,42.48,Neutral
2024-07-31,37.76,Fear
2024-08-01,41.26,Neutral
2024-08-02,49.95,Neutral
2024-08-03,57.85,Neutral
2024-08-04,50.73,Neutral
2024-08-05,44.27,Neutral
2024-08-06,37.86,Fear
2024-08-07,33.81,Fear
2024-08-08,31.70,Fear
2024-08-09,29.53,Fear
2024-08-10,32.12,Fear
2024-08-11,34.86,Fear
2024-08-12,37.53,Fear
2024-08-13,45.99,Neutral
2024-08-14,47.34,Neutral
2024-08-15,53.48,Neutral
2024-08-16,53.90,Neutral
2024-08-17,58.70,Neutral
2024-08-18,55.11,Neutral
2024-08-19,44.37,Neutral
2024-08-20,42.46,Neutral
2024-08-21,43.05,Neutral
2024-08-22,49.31,Neutral
2024-08-23,46.75,Neutral
