Date,Sentiment,Label
2023-04-17,62.30,Greed
2023-04-18,62.30,Greed
2023-04-19,49.19,Neutral
2023-04-20,42.41,Neutral
2023-04-21,36.69,Fear
2023-04-22,43.44,Neutral
2023-04-23,46.51,Neutral
2023-04-24,52.19,Neutral
2023-04-25,54.97,Neutral
2023-04-26,56.22,Neutral
2023-04-27,56.61,Neutral
2023-04-28,59.89,Neutral
2023-04-29,61.65,Greed
2023-04-30,55.82,Neutral
2023-05-01,52.42,Neutral
2023-05-02,48.88,Neutral
2023-05-03,49.70,Neutral
2023-05-04,42.64,Neutral
2023-05-05,35.71,Fear
2023-05-06,30.25,Fear
2023-05-07,36.86,Fear
2023-05-08,41.12,Neutral
2023-05-09,48.25,Neutral
2023-05-10,52.72,Neutral
2023-05-11,57.06,Neutral
2023-05-12,58.53,Neutral
2023-05-13,56.04,Neutral
2023-05-14,58.52,Neutral
2023-05-15,53.46,Neutral
2023-05-16,56.02,Neutral
2023-05-17,48.72,Neutral
2023-05-18,54.56,Neutral
2023-05-19,52.78,Neutral
2023-05-20,58.38,Neutral
2023-05-21,52.43,Neutral
2023-05-22,53.84,Neutral
2023-05-23,47.25,Neutral
2023-05-24,53.28,Neutral
2023-05-25,53.37,Neutral
2023-05-26,61.46,Greed
2023-05-27,62.89,Greed
2023-05-28,62.89,Greed
2023-05-29,62.77,Greed
2023-05-30,62.64,Greed
2023-05-31,53.64,Neutral
2023-06-01,48.59,Neutral
2023-06-02,43.55,Neutral
2023-06-03,47.37,Neutral
2023-06-04,49.77,Neutral
2023-06-05,55.06,Neutral
2023-06-06,60.48,Greed
2023-06-07,56.77,Neutral
2023-06-08,54.67,Neutral
2023-06-09,52.44,Neutral
2023-06-10,56.93,Neutral
2023-06-11,59.19,Neutral
2023-06-12,61.63,Greed
2023-06-13,63.69,Greed
2023-06-14,63.48,Greed
2023-06-15,63.16,Greed
2023-06-16,63.23,Greed
2023-06-17,63.29,Greed
2023-06-18,62.31,Greed
2023-06-19,59.16,Neutral
2023-06-20,52.38,Neutral
2023-06-21,53.20,Neutral
2023-06-22,56.09,Neutral
2023-06-23,62.61,Greed
2023-06-24,62.50,Greed
2023-06-25,57.56,Neutral
2023-06-26,58.66,Neutral
2023-06-27,58.00,Neutral
2023-06-28,64.33,Greed
2023-06-29,63.35,Greed
2023-06-30,64.13,Greed
2023-07-01,62.86,Greed
2023-07-02,63.48,Greed
2023-07-03,49.89,Neutral
2023-07-04,50.20,Neutral
2023-07-05,46.31,Neutral
2023-07-06,54.77,Neutral
2023-07-07,49.33,Neutral
2023-07-08,47.45,Neutral
2023-07-09,50.16,Neutral
2023-07-10,56.33,Neutral
2023-07-11,62.17,Greed
2023-07-12,59.88,Neutral
2023-07-13,59.25,Neutral
2023-07-14,58.96,Neutral
2023-07-15,64.08,Greed
2023-07-16,65.07,Greed
2023-07-17,66.41,Greed
2023-07-18,61.87,Greed
2023-07-19,59.01,Neutral
2023-07-20,55.23,Neutral
2023-07-21,57.34,Neutral
2023-07-22,56.77,Neutral
2023-07-23,58.67,Neutral
2023-07-24,57.21,Neutral
2023-07-25,52.95,Neutral
2023-07-26,44.85,Neutral
2023-07-27,38.62,Fear
2023-07-28,35.18,Fear
2023-07-29,33.68,Fear
2023-07-30,40.68,Neutral
2023-07-31,44.07,Neutral
2023-08-01,44.10,Neutral
2023-08-02,37.06,Fear
2023-08-03,43.54,Neutral
2023-08-04,53.39,Neutral
2023-08-05,63.29,Greed
2023-08-06,54.02,Neutral
2023-08-07,38.52,Fear
2023-08-08,38.78,Fear
2023-08-09,46.43,Neutral
2023-08-10,61.23,Greed
2023-08-11,60.28,Greed
2023-08-12,61.21,Greed
2023-08-13,47.10,Neutral
2023-08-14,47.84,Neutral
2023-08-15,47.42,Neutral
2023-08-16,59.17,Neutral
2023-08-17,50.67,Neutral
2023-08-18,43.32,Neutral
2023-08-19,37.92,Fear
2023-08-20,37.30,Fear
2023-08-21,37.81,Fear
2023-08-22,46.36,Neutral
2023-08-23,46.53,Neutral
2023-08-24,54.36,Neutral
2023-08-25,54.13,Neutral
2023-08-26,62.89,Greed
2023-08-27,59.69,Neutral
2023-08-28,52.74,Neutral
