Date,Sentiment,Label
2023-04-17,48.92,Neutral
2023-04-18,48.92,Neutral
2023-04-19,56.71,Neutral
2023-04-20,50.72,Neutral
2023-04-21,39.81,Fear
2023-04-22,28.12,Fear
2023-04-23,40.00,Neutral
2023-04-24,37.81,Fear
2023-04-25,33.03,Fear
2023-04-26,30.21,Fear
2023-04-27,44.05,Neutral
2023-04-28,60.46,Greed
2023-04-29,63.04,Greed
2023-04-30,57.31,Neutral
2023-05-01,47.77,Neutral
2023-05-02,41.04,Neutral
2023-05-03,35.19,Fear
2023-05-04,32.77,Fear
2023-05-05,27.56,Fear
2023-05-06,27.18,Fear
2023-05-07,35.09,Fear
2023-05-08,42.43,Neutral
2023-05-09,45.78,Neutral
2023-05-10,48.66,Neutral
2023-05-11,47.13,Neutral
2023-05-12,49.61,Neutral
2023-05-13,44.65,Neutral
2023-05-14,48.88,Neutral
2023-05-15,50.88,Neutral
2023-05-16,50.89,Neutral
2023-05-17,49.60,Neutral
2023-05-18,39.65,Fear
2023-05-19,31.70,Fear
2023-05-20,20.83,Fear
2023-05-21,29.67,Fear
2023-05-22,27.98,Fear
2023-05-23,38.07,Fear
2023-05-24,41.74,Neutral
2023-05-25,54.15,Neutral
2023-05-26,54.78,Neutral
2023-05-27,52.99,Neutral
2023-05-28,52.99,Neutral
2023-05-29,52.99,Neutral
2023-05-30,47.29,Neutral
2023-05-31,39.39,Fear
2023-06-01,35.88,Fear
2023-06-02,38.06,Fear
2023-06-03,42.44,Neutral
2023-06-04,49.04,Neutral
2023-06-05,49.30,Neutral
2023-06-06,55.13,Neutral
2023-06-07,55.36,Neutral
2023-06-08,62.32,Greed
2023-06-09,63.71,Greed
2023-06-10,64.11,Greed
2023-06-11,52.67,Neutral
2023-06-12,46.18,Neutral
2023-06-13,36.08,Fear
2023-06-14,42.34,Neutral
2023-06-15,42.58,Neutral
2023-06-16,46.43,Neutral
2023-06-17,45.37,Neutral
2023-06-18,46.55,Neutral
2023-06-19,37.74,Fear
2023-06-20,43.22,Neutral
2023-06-21,38.88,Fear
2023-06-22,44.26,Neutral
2023-06-23,35.35,Fear
2023-06-24,35.06,Fear
2023-06-25,44.49,Neutral
2023-06-26,54.11,Neutral
2023-06-27,58.93,Neutral
2023-06-28,58.78,Neutral
2023-06-29,56.54,Neutral
2023-06-30,59.10,Neutral
2023-07-01,57.19,Neutral
2023-07-02,59.11,Neutral
2023-07-03,47.08,Neutral
2023-07-04,43.62,Neutral
2023-07-05,40.79,Neutral
2023-07-06,52.21,Neutral
2023-07-07,55.06,Neutral
2023-07-08,55.37,Neutral
2023-07-09,57.25,Neutral
2023-07-10,51.05,Neutral
2023-07-11,46.70,Neutral
2023-07-12,41.81,Neutral
2023-07-13,44.16,Neutral
2023-07-14,44.66,Neutral
2023-07-15,43.83,Neutral
2023-07-16,48.41,Neutral
2023-07-17,54.36,Neutral
2023-07-18,60.95,Greed
2023-07-19,41.75,Neutral
2023-07-20,39.33,Fear
2023-07-21,36.28,Fear
2023-07-22,54.41,Neutral
2023-07-23,57.61,Neutral
2023-07-24,48.62,Neutral
2023-07-25,43.70,Neutral
2023-07-26,34.84,Fear
2023-07-27,42.54,Neutral
2023-07-28,46.17,Neutral
2023-07-29,50.54,Neutral
2023-07-30,54.19,Neutral
2023-07-31,50.00,Neutral
2023-08-01,43.97,Neutral
2023-08-02,34.90,Fear
2023-08-03,41.57,Neutral
2023-08-04,50.09,Neutral
2023-08-05,58.00,Neutral
2023-08-06,48.35,Neutral
2023-08-07,37.64,Fear
2023-08-08,36.15,Fear
2023-08-09,45.22,Neutral
2023-08-10,57.43,Neutral
2023-08-11,60.42,Greed
2023-08-12,62.50,Greed
2023-08-13,45.72,Neutral
2023-08-14,32.56,Fear
