Date,Sentiment,Label
2023-04-17,32.28,Fear
2023-04-18,32.28,Fear
2023-04-19,42.21,Neutral
2023-04-20,42.04,Neutral
2023-04-21,39.10,Fear
2023-04-22,43.77,Neutral
2023-04-23,34.58,Fear
2023-04-24,37.93,Fear
2023-04-25,32.65,Fear
2023-04-26,44.83,Neutral
2023-04-27,39.56,Fear
2023-04-28,42.93,Neutral
2023-04-29,38.02,Fear
2023-04-30,46.17,Neutral
2023-05-01,54.32,Neutral
2023-05-02,55.42,Neutral
2023-05-03,49.77,Neutral
2023-05-04,49.79,Neutral
2023-05-05,56.84,Neutral
2023-05-06,62.50,Greed
2023-05-07,62.50,Greed
2023-05-08,62.50,Greed
2023-05-09,62.51,Greed
2023-05-10,62.52,Greed
2023-05-11,52.90,Neutral
2023-05-12,43.27,Neutral
2023-05-13,33.63,Fear
2023-05-14,36.61,Fear
2023-05-15,39.60,Fear
2023-05-16,42.58,Neutral
2023-05-17,49.01,Neutral
2023-05-18,55.65,Neutral
2023-05-19,62.29,Greed
2023-05-20,62.50,Greed
2023-05-21,62.50,Greed
2023-05-22,62.50,Greed
2023-05-23,62.50,Greed
2023-05-24,62.23,Greed
2023-05-25,62.23,Greed
2023-05-26,62.23,Greed
2023-05-27,62.50,Greed
2023-05-28,62.50,Greed
2023-05-29,62.50,Greed
2023-05-30,62.50,Greed
2023-05-31,62.50,Greed
2023-06-01,62.50,Greed
2023-06-02,62.50,Greed
2023-06-03,62.50,Greed
2023-06-04,62.50,Greed
2023-06-05,62.50,Greed
2023-06-06,62.23,Greed
2023-06-07,61.97,Greed
2023-06-08,61.70,Greed
2023-06-09,61.70,Greed
2023-06-10,61.70,Greed
2023-06-11,61.75,Greed
2023-06-12,54.93,Neutral
2023-06-13,55.35,Neutral
2023-06-14,55.72,Neutral
2023-06-15,61.11,Greed
2023-06-16,59.27,Neutral
2023-06-17,57.42,Neutral
2023-06-18,57.42,Neutral
2023-06-19,57.42,Neutral
2023-06-20,55.98,Neutral
2023-06-21,42.57,Neutral
2023-06-22,37.87,Fear
2023-06-23,34.62,Fear
2023-06-24,43.32,Neutral
2023-06-25,47.35,Neutral
2023-06-26,51.42,Neutral
2023-06-27,57.28,Neutral
2023-06-28,59.75,Neutral
2023-06-29,60.77,Greed
2023-06-30,60.01,Greed
2023-07-01,58.60,Neutral
2023-07-02,58.60,Neutral
2023-07-03,58.60,Neutral
2023-07-04,60.23,Greed
2023-07-05,42.80,Neutral
2023-07-06,23.27,Fear
2023-07-07,3.77,Extreme Fear
2023-07-08,3.33,Extreme Fear
2023-07-09,5.00,Extreme Fear
2023-07-10,5.00,Extreme Fear
2023-07-11,18.96,Extreme Fear
2023-07-12,34.36,Fear
2023-07-13,53.85,Neutral
2023-07-14,59.39,Neutral
2023-07-15,63.47,Greed
2023-07-16,63.47,Greed
2023-07-17,63.37,Greed
2023-07-18,57.17,Neutral
2023-07-19,47.39,Neutral
2023-07-20,42.23,Neutral
2023-07-21,43.19,Neutral
2023-07-22,47.73,Neutral
2023-07-23,49.63,Neutral
2023-07-24,47.66,Neutral
