Date,Sentiment,Label
2023-04-17,59.79,Neutral
2023-04-18,59.79,Neutral
2023-04-19,52.89,Neutral
2023-04-20,46.35,Neutral
2023-04-21,42.27,Neutral
2023-04-22,42.62,Neutral
2023-04-23,43.65,Neutral
2023-04-24,38.47,Fear
2023-04-25,37.52,Fear
2023-04-26,36.89,Fear
2023-04-27,46.40,Neutral
2023-04-28,51.67,Neutral
2023-04-29,55.58,Neutral
2023-04-30,48.01,Neutral
2023-05-01,39.77,Fear
2023-05-02,32.29,Fear
2023-05-03,34.75,Fear
2023-05-04,35.22,Fear
2023-05-05,34.93,Fear
2023-05-06,32.28,Fear
2023-05-07,42.49,Neutral
2023-05-08,43.81,Neutral
2023-05-09,54.08,Neutral
2023-05-10,54.13,Neutral
2023-05-11,58.86,Neutral
2023-05-12,54.63,Neutral
2023-05-13,50.40,Neutral
2023-05-14,54.35,Neutral
2023-05-15,58.30,Neutral
2023-05-16,62.25,Greed
2023-05-17,62.18,Greed
2023-05-18,62.12,Greed
2023-05-19,62.06,Greed
2023-05-20,62.06,Greed
2023-05-21,62.07,Greed
2023-05-22,62.13,Greed
2023-05-23,62.20,Greed
2023-05-24,57.91,Neutral
2023-05-25,58.00,Neutral
2023-05-26,58.08,Neutral
2023-05-27,62.50,Greed
2023-05-28,62.50,Greed
2023-05-29,62.50,Greed
2023-05-30,62.50,Greed
2023-05-31,62.50,Greed
2023-06-01,53.20,Neutral
2023-06-02,43.90,Neutral
2023-06-03,34.60,Fear
2023-06-04,41.60,Neutral
2023-06-05,47.49,Neutral
2023-06-06,56.69,Neutral
2023-06-07,55.73,Neutral
2023-06-08,47.92,Neutral
2023-06-09,36.82,Fear
2023-06-10,28.88,Fear
2023-06-11,26.16,Fear
2023-06-12,33.72,Fear
2023-06-13,43.75,Neutral
2023-06-14,50.46,Neutral
2023-06-15,45.18,Neutral
2023-06-16,37.44,Fear
2023-06-17,35.74,Fear
2023-06-18,35.74,Fear
2023-06-19,39.96,Fear
2023-06-20,48.86,Neutral
2023-06-21,57.71,Neutral
2023-06-22,62.41,Greed
2023-06-23,62.43,Greed
2023-06-24,62.50,Greed
2023-06-25,62.47,Greed
2023-06-26,62.45,Greed
2023-06-27,45.73,Neutral
2023-06-28,45.38,Neutral
2023-06-29,42.12,Neutral
2023-06-30,55.58,Neutral
2023-07-01,52.69,Neutral
2023-07-02,46.81,Neutral
2023-07-03,40.94,Neutral
2023-07-04,44.63,Neutral
2023-07-05,50.53,Neutral
2023-07-06,56.39,Neutral
2023-07-07,52.69,Neutral
2023-07-08,52.66,Neutral
2023-07-09,55.96,Neutral
2023-07-10,51.63,Neutral
2023-07-11,55.17,Neutral
2023-07-12,50.62,Neutral
2023-07-13,58.23,Neutral
2023-07-14,57.97,Neutral
2023-07-15,62.50,Greed
2023-07-16,56.30,Neutral
2023-07-17,56.31,Neutral
2023-07-18,48.51,Neutral
2023-07-19,55.22,Neutral
2023-07-20,48.51,Neutral
2023-07-21,49.61,Neutral
2023-07-22,42.38,Neutral
2023-07-23,41.26,Neutral
2023-07-24,45.03,Neutral
2023-07-25,47.72,Neutral
2023-07-26,47.14,Neutral
2023-07-27,45.86,Neutral
2023-07-28,45.67,Neutral
2023-07-29,49.86,Neutral
2023-07-30,46.94,Neutral
2023-07-31,46.33,Neutral
2023-08-01,39.21,Fear
2023-08-02,31.58,Fear
2023-08-03,26.08,Fear
2023-08-04,27.10,Fear
2023-08-05,31.55,Fear
2023-08-06,37.52,Fear
2023-08-07,32.07,Fear
2023-08-08,42.57,Neutral
2023-08-09,47.25,Neutral
