Date,Sentiment,Label
2025-04-14,27.57,Fear
2025-04-13,21.81,Fear
2025-04-12,21.17,Fear
2025-04-11,20.58,Fear
2025-04-10,26.78,Fear
2025-04-09,23.70,Fear
2025-04-08,16.15,Extreme Fear
2025-04-07,18.99,Extreme Fear
2025-04-06,21.46,Fear
2025-04-05,24.30,Fear
2025-04-04,18.74,Extreme Fear
2025-04-03,26.68,Fear
2025-04-02,36.15,Fear
2025-04-01,40.81,Neutral
2025-03-31,39.62,Fear
2025-03-30,35.97,Fear
2025-03-29,39.78,Fear
2025-03-28,38.58,Fear
2025-03-27,33.21,Fear
2025-03-26,30.78,Fear
2025-03-25,30.26,Fear
2025-03-24,34.27,Fear
2025-03-23,33.17,Fear
2025-03-22,40.38,Neutral
2025-03-21,47.06,Neutral
2025-03-20,48.75,Neutral
2025-03-19,39.09,Fear
2025-03-18,35.84,Fear
2025-03-17,29.14,Fear
2025-03-16,22.95,Fear
2025-03-15,27.38,Fear
2025-03-14,36.22,Fear
2025-03-13,37.38,Fear
2025-03-12,29.77,Fear
2025-03-11,26.05,Fear
2025-03-10,32.21,Fear
2025-03-09,28.37,Fear
2025-03-08,32.93,Fear
2025-03-07,36.42,Fear
2025-03-06,41.61,Neutral
2025-03-05,35.12,Fear
2025-03-04,34.57,Fear
2025-03-03,26.44,Fear
2025-03-02,27.35,Fear
2025-03-01,22.95,Fear
2025-02-28,33.64,Fear
2025-02-27,34.41,Fear
2025-02-26,37.50,Fear
2025-02-25,37.30,Fear
2025-02-24,34.62,Fear
2025-02-23,38.01,Fear
2025-02-22,37.08,Fear
2025-02-21,42.10,Neutral
2025-02-20,40.30,Neutral
2025-02-19,40.91,Neutral
2025-02-18,39.22,Fear
2025-02-17,35.96,Fear
2025-02-16,43.47,Neutral
2025-02-15,48.05,Neutral
2025-02-14,53.69,Neutral
2025-02-13,46.73,Neutral
2025-02-12,47.42,Neutral
2025-02-11,44.88,Neutral
2025-02-10,38.01,Fear
2025-02-09,26.88,Fear
2025-02-08,21.23,Fear
2025-02-07,30.90,Fear
2025-02-06,39.77,Fear
2025-02-05,44.79,Neutral
2025-02-04,41.84,Neutral
2025-02-03,34.69,Fear
2025-02-02,21.68,Fear
2025-02-01,23.16,Fear
2025-01-31,33.54,Fear
2025-01-30,48.32,Neutral
2025-01-29,45.61,Neutral
2025-01-28,36.11,Fear
2025-01-27,31.15,Fear
2025-01-26,33.92,Fear
2025-01-25,41.41,Neutral
2025-01-24,50.33,Neutral
2025-01-23,52.27,Neutral
2025-01-22,51.43,Neutral
2025-01-21,51.13,Neutral
2025-01-20,44.93,Neutral
2025-01-19,32.95,Fear
2025-01-18,28.10,Fear
2025-01-17,36.15,Fear
2025-01-16,48.39,Neutral
2025-01-15,51.62,Neutral
2025-01-14,46.12,Neutral
2025-01-13,44.40,Neutral
2025-01-12,42.06,Neutral
2025-01-11,43.49,Neutral
2025-01-10,42.98,Neutral
2025-01-09,44.31,Neutral
2025-01-08,41.14,Neutral
2025-01-07,45.59,Neutral
2025-01-06,46.30,Neutral
2025-01-05,51.74,Neutral
2025-01-04,51.57,Neutral
2025-01-03,47.85,Neutral
2025-01-02,47.84,Neutral
2025-01-01,43.77,Neutral
2024-12-31,44.99,Neutral
2024-12-30,41.81,Neutral
2024-12-29,38.78,Fear
2024-12-28,40.74,Neutral
2024-12-27,42.31,Neutral
2024-12-26,47.77,Neutral
2024-12-25,49.53,Neutral
2024-12-24,53.54,Neutral
2024-12-23,53.15,Neutral
2024-12-22,56.14,Neutral
2024-12-21,54.59,Neutral
2024-12-20,53.41,Neutral
2024-12-19,47.67,Neutral
2024-12-18,47.22,Neutral
2024-12-17,46.41,Neutral
2024-12-16,32.90,Fear
2024-12-15,31.71,Fear
2024-12-14,32.39,Fear
2024-12-13,48.71,Neutral
2024-12-12,53.87,Neutral
2024-12-11,48.84,Neutral
2024-12-10,47.00,Neutral
2024-12-09,41.85,Neutral
2024-12-08,48.33,Neutral
2024-12-07,50.78,Neutral
2024-12-06,49.88,Neutral
2024-12-05,50.67,Neutral
2024-12-04,43.84,Neutral
2024-12-03,45.76,Neutral
2024-12-02,40.31,Neutral
2024-12-01,46.53,Neutral
2024-11-30,47.15,Neutral
2024-11-29,51.19,Neutral
2024-11-28,45.39,Neutral
2024-11-27,42.00,Neutral
